2021-05-28 02:53:17,206 INFO    MainThread:23388 [wandb_setup.py:_flush():69] setting env: {}
2021-05-28 02:53:17,207 INFO    MainThread:23388 [wandb_setup.py:_flush():69] setting login settings: {}
2021-05-28 02:53:17,207 INFO    MainThread:23388 [wandb_init.py:_log_setup():336] Logging user logs to /opt/ml/gitclone/p4-mod-model_diet/wandb/run-20210528_025317-2ertgyak/logs/debug.log
2021-05-28 02:53:17,207 INFO    MainThread:23388 [wandb_init.py:_log_setup():337] Logging internal logs to /opt/ml/gitclone/p4-mod-model_diet/wandb/run-20210528_025317-2ertgyak/logs/debug-internal.log
2021-05-28 02:53:17,207 INFO    MainThread:23388 [wandb_init.py:init():369] calling init triggers
2021-05-28 02:53:17,207 INFO    MainThread:23388 [wandb_init.py:init():374] wandb.init called with sweep_config: {}
config: {'img_size': 2, 'batch_size': 32, 'init_lr': 0.00010018907738681401}
2021-05-28 02:53:17,207 INFO    MainThread:23388 [wandb_init.py:init():418] starting backend
2021-05-28 02:53:17,207 INFO    MainThread:23388 [backend.py:_multiprocessing_setup():70] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-05-28 02:53:17,210 INFO    MainThread:23388 [backend.py:ensure_launched():132] starting backend process...
2021-05-28 02:53:17,251 INFO    MainThread:23388 [backend.py:ensure_launched():136] started backend process with pid: 27087
2021-05-28 02:53:17,253 INFO    MainThread:23388 [wandb_init.py:init():423] backend started and connected
2021-05-28 02:53:17,255 INFO    MainThread:23388 [wandb_init.py:init():465] updated telemetry
2021-05-28 02:53:17,255 INFO    MainThread:23388 [wandb_init.py:init():484] communicating current version
2021-05-28 02:53:18,481 INFO    MainThread:23388 [wandb_init.py:init():489] got version response upgrade_message: "wandb version 0.10.31 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-05-28 02:53:18,481 INFO    MainThread:23388 [wandb_init.py:init():497] communicating run to backend with 30 second timeout
2021-05-28 02:53:18,702 INFO    MainThread:23388 [wandb_init.py:init():522] starting run threads in backend
2021-05-28 02:53:18,741 INFO    MainThread:23388 [wandb_run.py:_console_start():1565] atexit reg
2021-05-28 02:53:18,741 INFO    MainThread:23388 [wandb_run.py:_redirect():1412] redirect: SettingsConsole.REDIRECT
2021-05-28 02:53:18,741 INFO    MainThread:23388 [wandb_run.py:_redirect():1417] Redirecting console.
2021-05-28 02:53:18,749 INFO    MainThread:23388 [wandb_run.py:_redirect():1479] Redirects installed.
2021-05-28 02:53:18,749 INFO    MainThread:23388 [wandb_init.py:init():546] run started, returning control to user process
2021-05-28 02:56:27,594 INFO    MainThread:23388 [wandb_run.py:finish():1208] finishing run seokjin/optuna/2ertgyak
